region,cases,deaths,recovered
USA,6943527,203455,4194597
India,5351723,86043,4249648
Brazil,4503002,136035,3789139
Russia,1097251,19339,906462
Peru,756412,31283,600795
Colombia,750471,23850,621521
Mexico,688954,72803,492192
Spain,659334,30495,N/A
South Africa,657627,15857,586844
Argentina,613658,12705,478077
Chile,444674,12254,418101
France,428696,31249,91574
Iran,419043,24118,357632
UK,390358,41759,N/A
Bangladesh,347372,4913,254386
Saudi Arabia,329271,4458,309430
Iraq,315597,8491,249539
Pakistan,305031,6415,292044
Turkey,301348,7445,266117
Italy,296569,35692,217716
Philippines,283460,4930,209885
Germany,271840,9466,243000
Indonesia,240687,9448,174350
Israel,183602,1226,132449
Ukraine,172712,3516,76754
Canada,142745,9211,124172
Bolivia,130051,7550,88457
Ecuador,124129,11044,97063
Qatar,123146,209,120089
Romania,111550,4402,89119
Dominican Republic,107700,2044,80820
Kazakhstan,107199,1671,101822
Panama,104879,2229,79093
Egypt,101772,5733,87958
Belgium,99649,9937,18908
Kuwait,99049,581,89498
Morocco,97264,1755,76690
Netherlands,91934,6275,N/A
Oman,91753,818,84648
Sweden,88237,5865,N/A
Guatemala,84344,3076,73748
UAE,84242,404,73512
Poland,78330,2282,63861
Japan,77494,1482,69899
Belarus,75461,776,73212
Honduras,70611,2146,21149
Portugal,68025,1899,45404
Ethiopia,67515,1072,27638
Venezuela,65174,530,54218
Bahrain,63879,221,56700
Nepal,62797,401,45267
Costa Rica,62374,686,23160
Singapore,57558,27,57142
Nigeria,56956,1094,48305
Uzbekistan,50872,425,47121
Algeria,49623,1665,34923
Switzerland,49283,2045,40500
Czechia,47285,499,24018
Armenia,47154,928,42551
Moldova,46336,1201,34236
Ghana,45877,297,45081
Kyrgyzstan,45335,1063,41484
Azerbaijan,39042,574,36601
Afghanistan,38919,1437,32576
Austria,37474,765,28961
Kenya,36829,646,23777
Palestine,35003,253,23446
Serbia,32840,740,31411
Ireland,32538,1792,23364
Paraguay,32127,611,16921
Lebanon,28297,286,11440
El Salvador,27428,808,21247
Libya,27234,436,14679
Australia,26885,844,23962
Bosnia and Herzegovina,25217,758,17489
S. Korea,22893,378,19970
Denmark,22436,635,17316
Cameroon,20371,416,19124
Ivory Coast,19200,120,18392
Bulgaria,18733,753,13510
Hungary,16920,675,4382
North Macedonia,16557,689,13792
Madagascar,16020,219,14630
Greece,14978,331,9989
Croatia,14725,244,12353
Senegal,14688,302,11153
Zambia,14022,329,13207
Sudan,13535,836,6759
Norway,12820,267,10371
Albania,12226,358,6888
DRC,10488,268,9891
Namibia,10292,111,7969
Guinea,10231,63,9660
Malaysia,10167,130,9315
French Guiana,9659,65,9298
Maldives,9568,33,8077
Tajikistan,9303,73,8066
Tunisia,9110,138,2366
Finland,8922,339,7700
Gabon,8696,53,7848
Haiti,8600,221,6363
Luxembourg,7718,124,6703
Montenegro,7711,133,4997
Zimbabwe,7647,224,5883
Mauritania,7361,161,6882
Slovakia,6546,39,3519
Mozambique,6264,40,3502
Uganda,6017,63,2581
Malawi,5716,179,4026
Djibouti,5403,61,5333
Eswatini,5215,103,4478
Cabo Verde,5141,50,4548
Hong Kong,5010,103,4707
Cuba,5004,111,4249
Equatorial Guinea,5002,83,4509
Congo,4980,89,3887
Nicaragua,4961,147,2913
Myanmar,4870,81,1188
CAR,4786,62,1830
Jamaica,4758,60,1327
Suriname,4691,96,4280
Rwanda,4671,25,2845
Jordan,4540,30,2672
Slovenia,4309,141,2981
Angola,3848,147,1443
Trinidad and Tobago,3739,60,1586
Syria,3731,168,918
Lithuania,3664,87,2197
Mayotte,3541,40,2964
Gambia,3504,108,1992
Thailand,3500,59,3338
Aruba,3460,23,2128
Guadeloupe,3426,26,837
Somalia,3390,98,2812
Georgia,3306,19,1481
Sri Lanka,3283,13,3070
Réunion,3194,15,1794
Bahamas,3177,69,1626
Mali,2991,128,2332
Estonia,2875,64,2374
Malta,2699,19,2017
South Sudan,2609,49,1290
Botswana,2567,13,624
Iceland,2307,10,2116
Guinea-Bissau,2303,39,1127
Benin,2280,40,1950
Sierra Leone,2159,72,1650
Guyana,2102,62,1314
Yemen,2026,585,1221
Uruguay,1890,46,1603
New Zealand,1811,25,1719
Burkina Faso,1797,56,1173
