region,cases,deaths,recovered
USA,6181394,187367,3425938
Brazil,3862311,120896,3031559
India,3649639,64951,2800671
Russia,995319,17176,809387
Peru,647166,28788,455457
South Africa,625056,14028,538604
Colombia,607938,19364,450621
Mexico,595841,64158,412580
Spain,455621,29011,N/A
Chile,411726,11289,383879
Argentina,408426,8498,301195
Iran,375212,21571,323233
UK,335873,41501,N/A
Saudi Arabia,315772,3897,290796
Bangladesh,312996,4281,204887
Pakistan,295849,6294,280682
France,277943,30606,86177
Turkey,268546,6326,243839
Italy,268218,35477,208536
Germany,243774,9366,217842
Iraq,231177,6959,172880
Philippines,220819,3558,157562
Indonesia,174796,7417,125959
Canada,127940,9117,113664
Ukraine,121215,2557,57114
Qatar,118778,197,115667
Bolivia,115968,4966,58497
Israel,115057,922,93801
Ecuador,113648,6555,101620
Kazakhstan,105795,1523,96297
Egypt,98727,5399,72120
Dominican Republic,94241,1681,66776
Panama,92065,1995,65747
Romania,87540,3621,37869
Oman,85722,685,80810
Kuwait,85109,531,77224
Belgium,85042,9894,18415
Sweden,84379,5808,N/A
Guatemala,73912,2740,61681
Belarus,71843,681,70468
Netherlands,70667,6224,N/A
UAE,70231,384,60931
Poland,67372,2039,46638
Japan,67264,1264,56164
Morocco,61399,1111,46355
Honduras,60174,1858,10242
Portugal,58012,1822,41961
Singapore,56812,27,55586
Nigeria,53865,1013,41513
Bahrain,51574,190,48654
Ethiopia,51122,793,18382
Venezuela,45868,381,37091
Ghana,44205,276,42777
Algeria,44146,1501,30978
Kyrgyzstan,43898,1058,38459
Armenia,43781,879,37722
Switzerland,42177,2006,35800
Uzbekistan,41787,319,39068
Costa Rica,39699,418,15737
Nepal,39460,228,21410
Afghanistan,38165,1402,29089
Moldova,36920,995,25872
Azerbaijan,36435,534,33847
Kenya,34201,577,19893
Serbia,31406,713,30028
Ireland,28760,1777,23364
Austria,27438,733,23226
Australia,25746,652,21350
El Salvador,25729,717,14292
Czechia,24367,423,17547
Palestine,22729,152,15056
Bosnia and Herzegovina,19964,609,13095
S. Korea,19947,324,14973
Cameroon,19142,411,17651
Ivory Coast,17948,115,16553
Paraguay,17105,308,9146
Denmark,16985,624,15205
Lebanon,16870,160,4693
Bulgaria,16190,613,11313
Madagascar,14863,192,13832
North Macedonia,14341,603,11157
Libya,13966,237,1459
Senegal,13611,284,9439
Sudan,13189,823,6612
Zambia,12097,288,11469
Norway,10746,264,9348
Greece,10317,266,3804
Croatia,10269,186,7434
DRC,10097,258,9133
Albania,9380,280,5139
Guinea,9371,59,8387
Malaysia,9340,127,9054
French Guiana,9076,58,8620
Tajikistan,8583,68,7376
Gabon,8505,53,7187
Haiti,8224,201,5828
Finland,8086,336,7200
Maldives,7667,28,5036
Namibia,7365,72,2929
Mauritania,7016,159,6430
Luxembourg,6673,124,N/A
Zimbabwe,6412,196,5061
Hungary,6139,615,3761
Malawi,5536,174,3147
Djibouti,5387,60,5323
Equatorial Guinea,4941,83,3884
Hong Kong,4811,89,4342
Montenegro,4790,98,3963
CAR,4700,61,1784
Eswatini,4561,91,3478
Nicaragua,4494,137,2913
Rwanda,4020,16,1918
Suriname,4009,67,3073
Congo,3979,78,1742
Cuba,3973,94,3327
Slovakia,3917,33,2377
Cabo Verde,3852,40,2867
Mozambique,3821,23,2100
Tunisia,3685,76,1562
Thailand,3412,58,3252
Somalia,3310,98,2481
Mayotte,3301,40,2964
Sri Lanka,3018,12,2868
Gambia,2963,96,1032
Uganda,2928,30,1288
Lithuania,2906,86,1840
Slovenia,2883,133,2296
Mali,2773,126,2169
Syria,2703,109,614
Angola,2624,107,1063
South Sudan,2519,47,1290
Estonia,2375,64,2088
Jamaica,2357,21,890
Guinea-Bissau,2205,34,1127
Bahamas,2167,50,782
Benin,2145,40,1738
Iceland,2107,10,1997
Jordan,2034,15,1508
Sierra Leone,2022,70,1594
Aruba,1997,10,765
Yemen,1953,564,1123
Malta,1883,12,1400
New Zealand,1738,22,1585
Trinidad and Tobago,1683,21,672
Réunion,1634,9,880
Botswana,1633,6,224
Uruguay,1585,44,1378
Cyprus,1487,20,1139
Georgia,1487,19,1240
Latvia,1396,34,1163
Togo,1396,27,996
Burkina Faso,1368,55,1058
Liberia,1304,82,872
Guyana,1234,36,687
Niger,1175,69,1085
Guadeloupe,1145,16,336
Andorra,1124,53,902
Lesotho,1085,31,528
Vietnam,1044,34,707
Chad,1012,77,878
Belize,993,13,117
Sao Tome and Principe,896,15,851
Myanmar,882,6,354
Diamond Princess,712,13,651
San Marino,710,42,658
Channel Islands,625,48,545
Martinique,596,16,98
Tanzania,509,21,183
Turks and Caicos,507,3,200
Taiwan,488,7,462
French Polynesia,482,NA,202
Sint Maarten,463,17,179
Papua New Guinea,459,5,232
Burundi,445,1,357
Comoros,423,7,399
Faeroe Islands,411,NA,374
Mauritius,355,10,335
Isle of Man,336,24,312
Eritrea,318,NA,284
Mongolia,301,NA,295
Gibraltar,288,NA,232
Cambodia,274,NA,266
Bhutan,224,NA,140
Saint Martin,213,5,79
Cayman Islands,205,1,202
Barbados,173,7,145
Bermuda,169,9,153
Brunei,144,3,139
Seychelles,136,NA,127
Monaco,131,1,89
Liechtenstein,107,1,97
Antigua and Barbuda,94,3,91
Curaçao,68,1,35
St. Vincent Grenadines,60,NA,57
British Virgin Islands,47,1,8
Macao,46,NA,46
Fiji,28,2,23
Timor-Leste,27,NA,25
Saint Lucia,26,NA,25
Grenada,24,NA,24
New Caledonia,23,NA,23
Laos,22,NA,21
Dominica,20,NA,18
St. Barth,18,NA,13
Saint Kitts and Nevis,17,NA,17
Caribbean Netherlands,15,NA,7
Greenland,14,NA,14
Montserrat,13,1,12
Falkland Islands,13,NA,13
Vatican City,12,NA,12
Western Sahara,10,1,8
MS Zaandam,9,2,NA
Saint Pierre Miquelon,5,NA,4
Anguilla,3,NA,3
China,85048,4634,80177
Total:,7320778,270678,4203671
Total:,6246073,201250,4842836
Total:,7039215,141826,5640144
Total:,3568977,207589,2071034
Total:,1251274,29646,980380
Total:,28476,681,23415
Total:,721,15,651
Total:,25455514,851685,17762131
