region,cases,deaths,recovered
USA,6272496,189302,3506751
Brazil,3961502,122941,3159096
India,3847588,67476,2966013
Russia,1005000,17414,821169
Peru,657129,29068,471599
South Africa,628259,14263,549993
Colombia,624069,20052,469557
Mexico,606036,65241,421373
Spain,479554,29194,N/A
Argentina,428239,8971,315530
Chile,414739,11344,387683
Iran,378752,21797,326801
UK,338676,41514,N/A
Bangladesh,317528,4351,211016
Saudi Arabia,317486,3956,292510
Pakistan,296590,6318,281459
France,293024,30661,86712
Turkey,273301,6462,246876
Italy,271515,35497,208201
Germany,246893,9385,221800
Iraq,242284,7201,184205
Philippines,226440,3623,158610
Indonesia,180646,7616,129971
Canada,129691,9134,114818
Ukraine,125789,2656,58817
Israel,121023,969,97218
Qatar,119206,199,116111
Bolivia,117267,5101,62124
Ecuador,115457,6619,101867
Kazakhstan,105944,1588,97371
Egypt,99115,5440,73828
Dominican Republic,95627,1765,69519
Panama,93552,2018,66974
Romania,89891,3721,38701
Kuwait,86478,535,78209
Oman,85928,689,81024
Belgium,85487,9897,18457
Sweden,84532,5820,N/A
Guatemala,74893,2778,62935
Belarus,72141,691,70900
Netherlands,71863,6235,N/A
UAE,71540,387,62029
Poland,68517,2078,47865
Japan,68392,1296,57823
Morocco,65453,1216,50357
Honduras,61769,1888,10430
Portugal,58633,1827,42233
Singapore,56901,27,55891
Ethiopia,54409,846,19903
Nigeria,54247,1023,42010
Bahrain,52440,190,49395
Venezuela,47756,391,39027
Algeria,44833,1518,31493
Ghana,44460,276,43121
Armenia,44075,884,38631
Kyrgyzstan,44036,1059,38895
Switzerland,42763,2011,36300
Uzbekistan,42437,327,39664
Costa Rica,42184,443,16270
Nepal,41649,251,23290
Afghanistan,38243,1409,29315
Moldova,37740,1024,26189
Azerbaijan,36732,538,34116
Kenya,34493,581,20211
Serbia,31581,716,30188
Ireland,29114,1777,23364
Austria,27969,734,23820
Australia,25923,663,21690
El Salvador,25904,731,14879
Czechia,25579,425,18307
Palestine,23875,162,15483
Bosnia and Herzegovina,20517,627,13626
S. Korea,20449,326,15356
Cameroon,19409,414,17651
Lebanon,18375,177,5195
Paraguay,18338,348,9721
Ivory Coast,18103,117,16814
Denmark,17195,626,15413
Bulgaria,16454,642,11615
Libya,15156,250,1746
Madagascar,15023,196,13965
North Macedonia,14600,606,11741
Senegal,13743,287,9506
Sudan,13189,823,6612
Zambia,12415,292,11494
Norway,10951,264,9348
Greece,10757,273,3804
Croatia,10725,191,7968
DRC,10114,259,9347
Albania,9728,296,5582
Guinea,9479,59,8527
Malaysia,9360,128,9079
French Guiana,9154,60,8707
Tajikistan,8654,69,7447
Gabon,8533,53,7264
Haiti,8258,206,5870
Finland,8161,336,7350
Maldives,8140,29,5338
Namibia,7844,82,3454
Mauritania,7075,159,6464
Luxembourg,6702,124,N/A
Hungary,6622,619,3903
Zimbabwe,6559,203,5241
Malawi,5576,175,3420
Djibouti,5387,60,5327
Equatorial Guinea,4965,83,3884
Montenegro,4917,102,4058
Hong Kong,4831,92,4401
CAR,4711,62,1790
Nicaragua,4668,141,2913
Eswatini,4618,94,3562
Rwanda,4142,16,2044
Mozambique,4117,25,2170
Suriname,4089,72,3171
Cuba,4065,95,3395
Slovakia,4042,33,2523
Congo,3979,78,1742
Cabo Verde,3970,40,3423
Tunisia,3963,80,1624
Thailand,3425,58,3274
Somalia,3310,98,2481
Mayotte,3301,40,2964
Uganda,3112,32,1528
Sri Lanka,3101,12,2883
Gambia,3067,97,1032
Slovenia,2979,134,2359
Lithuania,2958,86,1874
Syria,2830,116,646
Mali,2802,126,2185
Angola,2729,109,1084
Jamaica,2683,24,898
South Sudan,2532,47,1290
Estonia,2415,64,2130
Bahamas,2276,50,801
Guinea-Bissau,2205,34,1127
Jordan,2161,15,1610
Benin,2145,40,1738
Iceland,2121,10,2016
Aruba,2104,10,857
Sierra Leone,2028,71,1594
Yemen,1962,570,1160
Malta,1931,13,1490
Trinidad and Tobago,1839,28,691
Réunion,1796,10,880
New Zealand,1757,22,1606
Botswana,1724,6,493
Uruguay,1611,44,1419
Georgia,1548,19,1270
Cyprus,1495,21,1139
Togo,1416,28,1035
Latvia,1406,34,1173
Guyana,1373,41,742
Burkina Faso,1370,55,1075
Liberia,1305,82,1158
Guadeloupe,1269,16,336
Andorra,1184,53,908
Niger,1176,69,1088
Lesotho,1085,31,528
Belize,1050,13,213
Vietnam,1046,34,746
Chad,1017,77,884
Myanmar,995,6,358
Sao Tome and Principe,896,15,853
Martinique,747,18,98
San Marino,715,42,660
Diamond Princess,712,13,651
Channel Islands,630,48,545
French Polynesia,573,NA,205
Turks and Caicos,538,4,218
Tanzania,509,21,183
Taiwan,489,7,471
Sint Maarten,482,19,241
Papua New Guinea,460,5,232
Burundi,445,1,357
Comoros,427,7,410
Faeroe Islands,411,NA,374
Mauritius,356,10,335
Isle of Man,336,24,312
Eritrea,319,NA,284
Mongolia,306,NA,296
Gibraltar,295,NA,240
Cambodia,274,NA,266
Bhutan,227,NA,142
Saint Martin,213,5,79
Cayman Islands,205,1,204
Barbados,176,7,146
Bermuda,172,9,157
Brunei,144,3,139
Monaco,140,1,90
Seychelles,136,NA,127
Liechtenstein,107,1,97
Antigua and Barbuda,94,3,91
Curaçao,71,1,35
St. Vincent Grenadines,61,NA,57
British Virgin Islands,47,1,8
Macao,46,NA,46
Fiji,29,2,23
Timor-Leste,27,NA,25
Saint Lucia,26,NA,26
Grenada,24,NA,24
New Caledonia,23,NA,23
Laos,22,NA,21
Dominica,20,NA,18
St. Barth,18,NA,13
Saint Kitts and Nevis,17,NA,17
Caribbean Netherlands,16,NA,7
Greenland,14,NA,14
Montserrat,13,1,12
Falkland Islands,13,NA,13
Vatican City,12,NA,12
Western Sahara,10,1,8
MS Zaandam,9,2,NA
Saint Pierre Miquelon,5,NA,4
Anguilla,3,NA,3
China,85066,4634,80234
Total:,7433326,273952,4301395
Total:,6400736,205052,5030256
Total:,7294487,145626,5853468
Total:,3645272,208526,2097223
Total:,1268557,30177,1004708
Total:,28765,692,23779
Total:,721,15,651
Total:,26071864,864040,18311480
